Date_Time,League,Home_Team,Score,Away_Team,Home_Score,Away_Score,Home_Dummy_Score,Away_Dummy_Score
Su 22Sep 2024,English Premier,Man City,2-2,Arsenal,2,2,1,1
Su 31Mar 2024,Premier League,Man City,0-0,Arsenal,0,0,1,1
Su 08Oct 2023,Premier League,Arsenal,1-0,Man City,1,0,1,0
Su 06Aug 2023,Community Shield,Arsenal,1-1,Man City,1,1,1,1
We 26Apr 2023,Premier League,Man City,4-1,Arsenal,4,1,1,0
We 15Feb 2023,Premier League,Arsenal,1-3,Man City,1,3,0,1
Fr 27Jan 2023,FA Cup,Man City,1-0,Arsenal,1,0,1,0
Sa 01Jan 2022,Premier League,Arsenal,1-2,Man City,1,2,0,1
Sa 28Aug 2021,Premier League,Man City,5-0,Arsenal,5,0,1,0
Su 21Feb 2021,Premier League,Arsenal,0-1,Man City,0,1,0,1
Tu 22Dec 2020,EFL Cup,Arsenal,1-4,Man City,1,4,0,1
Sa 17Oct 2020,Premier League,Man City,1-0,Arsenal,1,0,1,0
Sa 18Jul 2020,FA Cup,Arsenal,2-0,Man City,2,0,1,0
We 17Jun 2020,Premier League,Man City,3-0,Arsenal,3,0,1,0
Su 15Dec 2019,Premier League,Arsenal,0-3,Man City,0,3,0,1
Su 03Feb 2019,Premier League,Man City,3-1,Arsenal,3,1,1,0
Su 12Aug 2018,Premier League,Arsenal,0-2,Man City,0,2,0,1
Th 01Mar 2018,Premier League,Arsenal,0-3,Man City,0,3,0,1
Su 25Feb 2018,EFL Cup,Arsenal,0-3,Man City,0,3,0,1
Su 05Nov 2017,Premier League,Man City,3-1,Arsenal,3,1,1,0
Su 23Apr 2017,FA Cup,Arsenal,2-1,Man City,2,1,1,0
Su 02Apr 2017,Premier League,Arsenal,2-2,Man City,2,2,1,1
Su 18Dec 2016,Premier League,Man City,2-1,Arsenal,2,1,1,0
Su 08May 2016,Premier League,Man City,2-2,Arsenal,2,2,1,1
Mo 21Dec 2015,Premier League,Arsenal,2-1,Man City,2,1,1,0
Su 18Jan 2015,Premier League,Man City,0-2,Arsenal,0,2,0,1
Sa 13Sep 2014,Premier League,Arsenal,2-2,Man City,2,2,1,1
Su 10Aug 2014,Community Shield,Arsenal,3-0,Man City,3,0,1,0
Sa 29Mar 2014,Premier League,Arsenal,1-1,Man City,1,1,1,1
Sa 14Dec 2013,Premier League,Man City,6-3,Arsenal,6,3,1,0
Su 13Jan 2013,Premier League,Arsenal,0-2,Man City,0,2,0,1
Su 23Sep 2012,Premier League,Man City,1-1,Arsenal,1,1,1,1
Su 08Apr 2012,Premier League,Arsenal,1-0,Man City,1,0,1,0
Su 18Dec 2011,Premier League,Man City,1-0,Arsenal,1,0,1,0
Tu 29Nov 2011,Carling Cup,Arsenal,0-1,Man City,0,1,0,1
We 05Jan 2011,Premier League,Arsenal,0-0,Man City,0,0,1,1
Su 24Oct 2010,Premier League,Man City,0-3,Arsenal,0,3,0,1
Sa 24Apr 2010,Premier League,Arsenal,0-0,Man City,0,0,1,1
We 02Dec 2009,Carling Cup,Man City,3-0,Arsenal,3,0,1,0
Sa 12Sep 2009,Premier League,Man City,4-2,Arsenal,4,2,1,0
Sa 04Apr 2009,Premier League,Arsenal,2-0,Man City,2,0,1,0
Sa 22Nov 2008,Premier League,Man City,3-0,Arsenal,3,0,1,0
Sa 02Feb 2008,Premier League,Man City,1-3,Arsenal,1,3,0,1
Sa 25Aug 2007,Premier League,Arsenal,1-0,Man City,1,0,1,0
Tu 17Apr 2007,Premiership,Arsenal,3-1,Man City,3,1,1,0
Sa 26Aug 2006,Premiership,Man City,1-0,Arsenal,1,0,1,0
Th 04May 2006,Premiership,Man City,1-3,Arsenal,1,3,0,1
Sa 22Oct 2005,Premiership,Arsenal,1-0,Man City,1,0,1,0
Tu 04Jan 2005,Premiership,Arsenal,1-1,Man City,1,1,1,1
We 27Oct 2004,Carling Cup,Man City,1-2,Arsenal,1,2,0,1
Sa 25Sep 2004,Premiership,Man City,0-1,Arsenal,0,1,0,1
Su 01Feb 2004,Premiership,Arsenal,2-1,Man City,2,1,1,0
